Index,Stream,OpDirn,ByteSize,Locality,Reg_Addr,Reg_Name,Reg_Payload,Tag,CmdSize,CmdCode/ResponseCode,Cmd_Name/Response_Name,Cmd_Payload/Response_Payload
96,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
97,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
97,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
98,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
98,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
99,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
99,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
100,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
100,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
101,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
101,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
102,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
102,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
103,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
103,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
104,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
104,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
105,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
105,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
106,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
106,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
107,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
107,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
108,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
108,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
109,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
109,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
110,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
110,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
111,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
111,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
112,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
112,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
113,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
113,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
114,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
114,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
115,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
