Index,Length,MOSI,MISO
258,5,C0 DC 00 1C 00,00 00 00 01 44
259,8,83 DE 00 1C 00 00 00 00,00 00 00 01 44 FF 00 04
261,5,80 DC 00 18 00,00 00 00 01 84
262,5,80 D4 00 1C 00,00 00 00 01 84
263,5,00 D6 00 1C 20,00 00 00 01 00
264,5,80 FC 00 18 00,00 00 00 01 94
265,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04
267,5,C0 F4 00 1C 00,00 00 00 01 94
268,8,83 F4 00 1C 00 00 00 00,00 00 00 01 94 11 00 04
269,21,D8 DE 00 36 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18
270,5,00 FC 00 1C 40,00 00 00 01 00
271,5,00 D4 00 00 20,00 00 00 01 00
272,5,80 DC 00 00 00,00 00 00 01 81
273,5,00 DE 00 00 03,00 00 00 01 00
274,5,C0 DE 00 00 00,00 00 00 01 A1
275,5,C0 D6 00 18 00,00 00 00 01 44
276,8,C3 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
277,26,1D DE 00 24 C0 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
278,5,80 DC 00 18 00,00 00 00 01 84
279,5,C0 F4 00 1C 00,00 00 00 01 84
280,5,00 FE 00 18 30,00 00 00 01 00
281,5,80 D4 00 1C 00,00 00 00 01 94
282,8,83 F4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04
284,5,C0 D4 00 18 00,00 00 00 01 94
285,8,C3 FC 00 18 00 00 00 00,00 00 00 01 94 15 00 04
286,25,D6 D6 00 36 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF
287,5,00 F4 00 1C 40,00 00 00 01 00
288,5,00 F6 00 00 20,00 00 00 01 00
289,5,C0 F6 00 00 00,00 00 00 01 81
290,5,00 DE 00 00 02,00 00 00 01 00
291,5,C0 FE 00 00 00,00 00 00 01 A1
292,5,C0 DC 00 1C 00,00 00 00 01 04
293,5,00 DC 00 1C 40,00 00 00 01 00
294,5,80 DC 00 18 00,00 00 00 01 44
295,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
296,26,1D F6 00 24 C0 01 00 00 00 16 00 00 01 FA 00 00 00 06 00 00 01 1A 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
