Index,Length,MOSI,MISO
864,5,80 D4 00 18 00,00 00 00 01 84
865,5,80 D4 00 18 00,00 00 00 01 84
866,5,00 D4 00 18 20,00 00 00 01 00
867,5,80 D4 00 18 00,00 00 00 01 94
868,8,C3 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04
870,5,80 D4 00 18 00,00 00 00 01 94
871,8,83 FC 00 18 00 00 00 00,00 00 00 01 94 11 00 04
869,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18
873,5,00 D4 00 18 40,00 00 00 01 00
874,5,00 D4 00 00 20,00 00 00 01 00
875,5,80 D4 00 00 00,00 00 00 01 81
876,5,00 D4 00 00 02,00 00 00 01 00
877,5,80 D4 00 00 00,00 00 00 01 A1
878,5,80 D4 00 18 00,00 00 00 01 04
879,5,00 D4 00 18 40,00 00 00 01 00
880,5,80 D4 00 18 00,00 00 00 01 44
881,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
882,57,34 D4 00 24 80 02 00 00 00 35 00 00 01 82 00 00 00 07 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 04 73 44 24 C9 FE 8F C7 17 16 C4 20 96 F4 B7 4C 88 73 3B 17 5E,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
883,5,80 F4 00 18 00,00 00 00 01 84
884,5,80 D4 00 18 00,00 00 00 01 84
885,5,00 D4 00 18 20,00 00 00 01 00
886,5,80 FC 00 18 00,00 00 00 01 94
887,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04
889,5,80 D4 00 18 00,00 00 00 01 94
890,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04
888,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00 00 00 00 00 00 00 01 00 00
892,5,00 D4 00 18 40,00 00 00 01 00
893,5,00 DC 00 00 20,00 00 00 01 00
894,5,80 D4 00 00 00,00 00 00 01 81
895,5,00 D4 00 00 02,00 00 00 01 00
896,5,80 D4 00 00 00,00 00 00 01 A1
897,5,80 D4 00 18 00,00 00 00 01 04
898,5,00 D4 00 18 40,00 00 00 01 00
899,5,80 D4 00 18 00,00 00 00 01 44
900,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
902,5,80 D4 00 18 00,00 00 00 01 84
903,5,C0 D4 00 18 00,00 00 00 01 84
904,5,00 D4 00 18 20,00 00 00 01 00
905,5,80 D4 00 18 00,00 00 00 01 94
906,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04
908,5,80 D4 00 18 00,00 00 00 01 94
909,8,83 F4 00 18 00 00 00 00,00 00 00 01 94 15 00 04
907,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF
911,5,00 D6 00 18 40,00 00 00 01 00
912,5,00 DC 00 00 20,00 00 00 01 00
913,5,80 D4 00 00 00,00 00 00 01 81
914,5,00 D4 00 00 02,00 00 00 01 00
915,5,80 D4 00 00 00,00 00 00 01 A1
916,5,80 F4 00 1C 00,00 00 00 01 04
917,5,00 D4 00 18 40,00 00 00 01 00
918,5,80 D4 00 18 00,00 00 00 01 44
919,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
920,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
921,5,80 D6 00 18 00,00 00 00 01 84
922,5,80 D4 00 18 00,00 00 00 01 84
923,5,00 D4 00 18 20,00 00 00 01 00
924,5,80 D4 00 18 00,00 00 00 01 94
925,8,C3 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04
927,5,80 D4 00 18 00,00 00 00 01 94
928,8,C3 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04
929,21,98 F4 00 34 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18
930,5,00 D4 00 1C 40,00 00 00 01 00
931,5,00 DC 00 00 20,00 00 00 01 00
932,5,80 D4 00 00 00,00 00 00 01 81
933,5,00 D4 00 00 02,00 00 00 01 00
934,5,C0 D4 00 00 00,00 00 00 01 A1
935,5,80 DC 00 18 00,00 00 00 01 04
936,5,00 D4 00 18 40,00 00 00 01 00
937,5,80 D4 00 18 00,00 00 00 01 44
938,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
939,69,3F D4 00 34 80 02 00 00 00 41 00 00 01 82 00 00 00 07 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 0B 9F 75 B6 82 3B FF 6B F1 02 4A 4E 20 36 71 9C DD 54 8D 3E BC 2B F1 DE 8E 7E F4 D0 ED 01 F9 4B F9,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
941,5,80 D4 00 1C 00,00 00 00 01 84
942,5,80 D4 00 18 00,00 00 00 01 84
943,5,00 D4 00 18 20,00 00 00 01 00
944,5,80 D6 00 18 00,00 00 00 01 94
945,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04
947,5,80 D4 00 18 00,00 00 00 01 94
948,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04
926,14,89 D4 00 26 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00 80 02 00 00 00 13 00 00 00 00 00 00 00 00 00 00 01
950,5,00 D4 00 18 40,00 00 00 01 00
951,5,00 D4 00 00 20,00 00 00 01 00
952,5,80 D4 00 00 00,00 00 00 01 81
953,5,00 D4 00 00 02,00 00 00 01 00
954,5,80 D4 00 00 00,00 00 00 01 A1
955,5,80 D4 00 18 00,00 00 00 01 04
956,5,00 D4 00 18 40,00 00 00 01 00
957,5,80 D4 00 18 00,00 00 00 01 44
958,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
959,26,1D D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
960,5,80 D4 00 18 00,00 00 00 01 84
961,5,80 DC 00 18 00,00 00 00 01 84
962,5,00 D4 00 18 20,00 00 00 01 00
963,5,80 D4 00 18 00,00 00 00 01 94
964,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04
966,5,80 D4 00 18 00,00 00 00 01 94
967,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04
965,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF
969,5,00 D4 00 18 40,00 00 00 01 00
970,5,00 D4 00 00 20,00 00 00 01 00
971,5,80 D4 00 00 00,00 00 00 01 81
972,5,00 D4 00 00 02,00 00 00 01 00
973,5,80 DC 00 00 00,00 00 00 01 A1
974,5,80 F4 00 18 00,00 00 00 01 04
975,5,00 F4 00 18 40,00 00 00 01 00
976,5,80 D4 00 18 00,00 00 00 01 44
977,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
978,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
979,5,80 D4 00 18 00,00 00 00 01 84
980,5,80 D4 00 18 00,00 00 00 01 84
981,5,00 D4 00 18 20,00 00 00 01 00
982,5,80 FE 00 18 00,00 00 00 01 94
983,8,83 DC 00 18 00 00 00 00,00 00 00 01 94 1B 00 04
985,5,80 D4 00 18 00,00 00 00 01 94
986,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04
984,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18
988,5,00 D4 00 18 40,00 00 00 01 00
989,5,00 D4 00 00 20,00 00 00 01 00
990,5,80 D4 00 00 00,00 00 00 01 81
991,5,00 D4 00 00 02,00 00 00 01 00
992,5,80 D4 00 00 00,00 00 00 01 A1
993,5,80 D4 00 18 00,00 00 00 01 04
994,5,00 D4 00 18 40,00 00 00 01 00
995,5,80 F6 00 18 00,00 00 00 01 44
996,8,83 F4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
998,5,80 D4 00 18 00,00 00 00 01 84
999,5,C0 D4 00 18 00,00 00 00 01 84
1000,5,00 D6 00 18 20,00 00 00 01 00
1001,5,80 D4 00 18 00,00 00 00 01 94
1002,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04
1004,5,80 D4 00 1C 00,00 00 00 01 94
1005,8,83 F4 00 18 00 00 00 00,00 00 00 01 94 09 00 04
1003,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00 00 00 00 00 00 00 01 00 00
1007,5,00 D4 00 18 40,00 00 00 01 00
1008,5,00 D4 00 00 20,00 00 00 01 00
1009,5,80 D4 00 00 00,00 00 00 01 81
1010,5,00 F4 00 00 02,00 00 00 01 00
1011,5,80 D4 00 00 00,00 00 00 01 A1
1012,5,80 D4 00 18 00,00 00 00 01 04
1013,5,00 D4 00 18 40,00 00 00 01 00
1014,5,80 D4 00 18 00,00 00 00 01 44
1015,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1016,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1017,5,80 D4 00 18 00,00 00 00 01 84
1018,5,80 D4 00 18 00,00 00 00 01 84
1019,5,00 D4 00 18 20,00 00 00 01 00
1020,5,80 D4 00 18 00,00 00 00 01 94
1021,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04
1023,5,80 D4 00 18 00,00 00 00 01 94
1024,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04
1022,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF
1026,5,00 D4 00 18 40,00 00 00 01 00
1027,5,00 D4 00 00 20,00 00 00 01 00
1028,5,80 D4 00 00 00,00 00 00 01 81
1029,5,00 D4 00 00 02,00 00 00 01 00
1030,5,80 D4 00 00 00,00 00 00 01 A1
1031,5,80 D4 00 18 00,00 00 00 01 04
1032,5,00 D4 00 18 40,00 00 00 01 00
1033,5,C0 D4 00 18 00,00 00 00 01 44
1034,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1035,26,1D D4 00 24 80 01 00 00 00 16 00 00 01 FA 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1036,5,80 D4 00 18 00,00 00 00 01 84
1037,5,80 F4 00 18 00,00 00 00 01 84
1038,5,00 D4 00 18 20,00 00 00 01 00
1039,5,80 F4 00 18 00,00 00 00 01 94
1040,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04
1042,5,80 D4 00 18 00,00 00 00 01 94
1043,8,83 F4 00 18 00 00 00 00,00 00 00 01 94 11 00 04
1041,14,C9 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18
1045,5,00 D4 00 18 40,00 00 00 01 00
1046,5,00 D4 00 00 20,00 00 00 01 00
1047,5,80 D4 00 00 00,00 00 00 01 81
1048,5,00 D4 00 00 02,00 00 00 01 00
1049,5,80 D4 00 00 00,00 00 00 01 A1
1050,5,80 D4 00 18 00,00 00 00 01 04
1051,5,00 D4 00 18 40,00 00 00 01 00
1052,5,80 F4 00 18 00,00 00 00 01 44
1053,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1054,69,3F D4 00 24 80 02 00 00 00 41 00 00 01 82 00 00 00 07 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 0B 8F 63 1C 25 4F 37 7B 06 1E 58 BA D2 FE 9B 28 E0 5D B9 42 F5 9D 53 E3 F0 5D A8 80 21 61 83 45 E8,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1056,5,80 D4 00 18 00,00 00 00 01 84
1057,5,80 D4 00 18 00,00 00 00 01 84
1058,5,00 D4 00 18 20,00 00 00 01 00
1059,5,80 D4 00 18 00,00 00 00 01 94
1060,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04
1062,5,80 D4 00 1C 00,00 00 00 01 94
1063,8,83 D4 00 1C 00 00 00 00,00 00 00 01 94 09 00 04
1061,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00 00 00 00 00 00 00 01 00 00
1065,5,00 F4 00 18 40,00 00 00 01 00
1066,5,00 D4 00 00 20,00 00 00 01 00
1067,5,80 D4 00 00 00,00 00 00 01 81
1068,5,00 D4 00 00 02,00 00 00 01 00
1069,5,80 D4 00 00 00,00 00 00 01 A1
1070,5,80 D4 00 18 00,00 00 00 01 44
1071,8,C3 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1072,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1073,5,80 D4 00 18 00,00 00 00 01 84
1074,5,80 D4 00 18 00,00 00 00 01 84
1075,5,00 D4 00 18 20,00 00 00 01 00
1076,5,80 D4 00 18 00,00 00 00 01 94
1077,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04
1079,5,80 DC 00 18 00,00 00 00 01 94
1080,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04
1078,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF
1082,5,00 D4 00 1C 40,00 00 00 01 00
1083,5,00 D4 00 00 20,00 00 00 01 00
1084,5,80 D4 00 00 00,00 00 00 01 81
1085,5,00 D4 00 00 02,00 00 00 01 00
1086,5,80 D4 00 00 00,00 00 00 01 A1
1087,5,80 D4 00 18 00,00 00 00 01 44
1088,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1089,26,15 D4 00 24 C0 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1090,5,80 D4 00 18 00,00 00 00 01 84
1091,5,80 D4 00 18 00,00 00 00 01 84
1092,5,00 D4 00 18 20,00 00 00 01 00
1093,5,80 D4 00 18 00,00 00 00 01 94
1094,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04
1096,5,80 D4 00 18 00,00 00 00 01 94
1097,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04
1095,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18
1099,5,00 D4 00 18 40,00 00 00 01 00
1100,5,00 D4 00 00 20,00 00 00 01 00
1101,5,80 D4 00 00 00,00 00 00 01 81
1102,5,00 D4 00 00 02,00 00 00 01 00
1103,5,80 D4 00 00 00,00 00 00 01 A1
1104,5,80 D4 00 18 00,00 00 00 01 04
1105,5,00 D4 00 18 40,00 00 00 01 00
1106,5,80 D4 00 18 00,00 00 00 01 44
1107,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1108,57,34 D4 00 24 80 02 00 00 00 35 00 00 01 82 00 00 00 07 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 04 85 D6 4B 3C 1D 4E B4 9F 59 11 58 58 93 11 F4 26 AB 18 6E 83,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1109,5,80 D4 00 18 00,00 00 00 01 84
1110,5,80 D4 00 18 00,00 00 00 01 84
1111,5,00 D4 00 18 20,00 00 00 01 00
1112,5,80 D6 00 18 00,00 00 00 01 94
1113,8,83 F4 00 18 00 00 00 00,00 00 00 01 94 13 00 04
1115,5,80 D4 00 18 00,00 00 00 01 94
1116,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04
1114,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00 00 00 00 00 00 00 01 00 00
1118,5,00 D4 00 18 40,00 00 00 01 00
1119,5,00 D4 00 00 20,00 00 00 01 00
1120,5,80 D4 00 00 00,00 00 00 01 81
1121,5,00 D4 00 00 02,00 00 00 01 00
1122,5,80 D4 00 00 00,00 00 00 01 A1
1123,5,80 D4 00 18 00,00 00 00 01 04
1124,5,00 D4 00 18 40,00 00 00 01 00
1125,5,80 D4 00 1C 00,00 00 00 01 44
1126,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1127,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1128,5,80 D4 00 18 00,00 00 00 01 84
1129,5,80 D4 00 18 00,00 00 00 01 84
1130,5,00 D4 00 18 20,00 00 00 01 00
1131,5,80 D4 00 18 00,00 00 00 01 94
1132,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04
1134,5,80 D4 00 18 00,00 00 00 01 94
1135,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04
1133,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF
1137,5,00 D4 00 18 40,00 00 00 01 00
1138,5,00 DC 00 00 20,00 00 00 01 00
1139,5,80 D4 00 00 00,00 00 00 01 81
1140,5,00 D4 00 00 02,00 00 00 01 00
1141,5,80 D6 00 00 00,00 00 00 01 A1
1142,5,80 D4 00 18 00,00 00 00 01 44
1143,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1144,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 FA 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1145,5,80 D4 00 18 00,00 00 00 01 84
1146,5,80 D4 00 18 00,00 00 00 01 84
1147,5,00 DC 00 18 20,00 00 00 01 00
1148,5,80 D4 00 18 00,00 00 00 01 94
1149,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04
1151,5,80 D4 00 18 00,00 00 00 01 94
1152,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04
1150,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18
1154,5,00 D4 00 18 40,00 00 00 01 00
1155,5,00 D4 00 00 20,00 00 00 01 00
1156,5,80 D4 00 00 00,00 00 00 01 81
1157,5,00 D4 00 00 02,00 00 00 01 00
1158,5,80 D4 00 00 00,00 00 00 01 A1
1159,5,80 D4 00 18 00,00 00 00 01 04
1160,5,00 D4 00 18 40,00 00 00 01 00
1161,5,80 FE 00 18 00,00 00 00 01 44
1162,8,83 F4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1163,69,3F D4 00 24 80 02 00 00 00 41 00 00 01 82 00 00 00 07 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 0F B7 0B 7C 1B 92 20 9A F6 6D 79 F1 2D EC 1F 14 F4 B8 C7 1C 0C 69 BE 22 A1 A0 4F 5C 58 04 E2 6E C3,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1165,5,80 D4 00 18 00,00 00 00 01 84
1166,5,80 D4 00 18 00,00 00 00 01 84
1167,5,00 D4 00 18 20,00 00 00 01 00
1168,5,80 D4 00 18 00,00 00 00 01 94
1169,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04
1171,5,80 D4 00 18 00,00 00 00 01 94
1172,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04
1170,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00 00 00 00 00 00 00 01 00 00
1174,5,00 D4 00 18 40,00 00 00 01 00
1175,5,00 D4 00 00 30,00 00 00 01 00
1176,5,80 D6 00 00 00,00 00 00 01 81
1177,5,00 D4 00 00 02,00 00 00 01 00
1178,5,80 D6 00 00 00,00 00 00 01 A1
1179,5,80 D4 00 18 00,00 00 00 01 44
1180,8,83 FC 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1181,26,1D D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1182,5,80 D4 00 18 00,00 00 00 01 84
1183,5,80 D4 00 18 00,00 00 00 01 84
1184,5,00 F4 00 18 20,00 00 00 01 00
1185,5,80 D4 00 18 00,00 00 00 01 94
1186,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04
1188,5,80 D4 00 18 00,00 00 00 01 94
1189,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04
1187,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF
1191,5,00 DC 00 18 40,00 00 00 01 00
1192,5,00 D4 00 00 20,00 00 00 01 00
1193,5,80 D4 00 00 00,00 00 00 01 81
1194,5,00 D4 00 00 02,00 00 00 01 00
1195,5,80 D4 00 00 00,00 00 00 01 A1
1196,5,80 D4 00 18 00,00 00 00 01 04
1197,5,00 D4 00 18 40,00 00 00 01 00
1198,5,80 D4 00 18 00,00 00 00 01 44
1199,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1200,26,15 D6 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1201,5,80 D4 00 18 00,00 00 00 01 84
1202,5,80 D4 00 18 00,00 00 00 01 84
1203,5,00 D4 00 18 20,00 00 00 01 00
1204,5,80 D4 00 18 00,00 00 00 01 94
1205,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04
1207,5,80 D4 00 18 00,00 00 00 01 94
1208,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04
1206,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18
1210,5,00 D4 00 18 40,00 00 00 01 00
1211,5,00 D4 00 00 20,00 00 00 01 00
1212,5,80 DC 00 00 00,00 00 00 01 81
1213,5,00 D4 00 00 02,00 00 00 01 00
1214,5,80 D4 00 00 00,00 00 00 01 A1
1215,5,80 D4 00 18 00,00 00 00 01 44
1216,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1217,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1218,5,80 D4 00 18 00,00 00 00 01 84
1219,5,80 D6 00 18 00,00 00 00 01 84
1220,5,00 F4 00 18 20,00 00 00 01 00
1221,5,80 D4 00 18 00,00 00 00 01 94
1222,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04
1224,5,80 FE 00 18 00,00 00 00 01 94
1225,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04
1223,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF
1227,5,00 D4 00 18 60,00 00 00 01 00
1228,5,00 D4 00 00 20,00 00 00 01 00
1229,5,80 D4 00 00 00,00 00 00 01 81
1230,5,00 D4 00 00 02,00 00 00 01 00
1231,5,C0 D6 00 00 00,00 00 00 01 A1
1232,5,80 D4 00 18 00,00 00 00 01 04
1233,5,00 D4 00 18 40,00 00 00 01 00
1234,5,80 D4 00 18 00,00 00 00 01 44
1235,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
1236,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
1237,5,80 D4 00 18 00,00 00 00 01 84
1238,5,80 D4 00 18 00,00 00 00 01 84
1239,5,00 D4 00 18 20,00 00 00 01 00
1240,5,80 D4 00 18 00,00 00 00 01 94
1241,8,C3 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04
1243,5,80 D4 00 18 00,00 00 00 01 94
1244,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04
1242,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18
1246,5,00 D4 00 18 40,00 00 00 01 00
1247,5,00 D4 00 00 20,00 00 00 01 00
1248,5,80 D4 00 00 00,00 00 00 01 81
1249,5,00 D4 00 00 02,00 00 00 01 00
1250,5,80 D4 00 00 00,00 00 00 01 A1
1251,5,80 D4 00 18 00,00 00 00 01 44
1252,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04
